vehicleTypeMatch,priceWithinBudget,priceToBudgetRatio,durationInDays,popularityScore,userTypeAffinityScore,isGoodMatch
0,1,0.76,2,5,1,1
1,0,1.61,4,4,3,1
1,1,0.47,10,8,2,1
1,1,0.84,12,3,1,1
0,0,2.32,2,7,0,0
0,1,0.95,12,6,1,0
0,1,0.6,13,2,1,0
1,0,2.4,13,3,3,0
1,1,0.61,8,2,0,1
1,0,1.28,10,3,2,0
0,1,0.97,7,4,4,1
1,1,0.53,7,4,1,1
1,1,0.92,3,2,1,1
0,1,0.89,7,6,1,1
0,1,0.45,8,5,2,1
0,1,0.74,5,4,1,1
0,0,1.79,1,8,2,0
1,1,0.89,1,1,0,1
1,1,0.42,12,2,1,1
0,0,1.1,11,4,1,0
1,1,0.58,14,1,0,1
0,1,0.7,4,6,5,0
0,1,0.9,2,3,0,0
0,0,2.44,7,2,1,0
1,0,2.04,13,6,3,0
1,0,2.33,3,1,1,0
0,1,0.82,12,4,3,1
1,0,2.16,4,3,2,1
1,1,0.61,9,6,3,1
0,0,2.07,2,3,2,0
1,1,0.65,12,9,3,1
0,1,0.54,8,5,1,1
0,1,0.83,1,5,1,1
1,0,1.39,3,7,0,0
1,1,0.91,4,5,1,1
1,0,2.43,14,5,2,0
0,1,0.47,6,4,0,1
0,1,0.9,1,4,2,0
1,0,2.11,14,4,1,0
1,1,0.44,8,2,5,1
0,1,0.74,2,1,2,1
1,0,2.32,5,3,0,0
0,1,0.89,6,1,2,0
1,0,1.1,8,8,2,0
0,1,0.81,3,4,8,1
1,1,0.37,12,2,6,1
0,0,2.28,9,6,0,0
1,1,0.99,12,4,2,1
1,1,0.87,5,5,1,1
0,1,0.41,8,1,2,1
1,1,0.49,4,1,0,1
1,1,0.53,12,3,2,1
1,1,0.76,9,3,3,1
1,1,0.83,8,4,1,1
1,1,0.82,5,6,1,1
1,1,0.66,3,7,0,1
0,1,0.87,1,8,3,1
0,1,0.61,5,4,0,1
0,1,0.39,5,4,1,1
0,1,0.7,4,4,4,0
0,1,0.97,10,7,1,0
0,0,2.34,10,2,0,0
1,1,0.71,8,2,2,1
0,1,0.75,3,3,1,0
0,0,1.88,12,7,2,0
1,1,0.6,10,5,0,1
0,1,0.53,9,9,1,1
1,0,2.0,3,4,2,0
0,0,1.98,4,2,1,0
1,0,2.35,6,1,0,0
1,1,0.62,9,6,2,1
0,0,2.41,10,1,0,0
0,0,2.3,2,5,1,0
1,1,0.97,2,6,2,1
1,0,1.1,2,3,4,0
1,0,2.27,5,3,1,0
1,0,1.92,6,8,1,0
0,1,0.68,3,2,1,1
0,1,0.32,3,4,1,1
0,1,0.83,2,3,0,0
1,1,0.71,11,5,3,1
1,1,0.74,6,3,1,1
0,1,0.34,1,4,1,0
0,0,2.37,9,6,1,0
0,0,2.24,11,3,3,0
0,1,0.5,10,2,1,0
1,1,0.74,4,7,2,1
1,0,1.37,14,4,1,0
1,1,0.73,2,4,3,1
1,0,1.18,13,7,1,0
0,1,0.49,12,3,2,1
1,1,0.47,6,0,2,1
1,0,1.2,5,2,0,0
1,1,0.89,3,2,0,1
1,0,1.83,13,6,6,0
1,1,0.43,3,6,2,1
1,0,1.06,5,6,2,0
1,1,0.91,4,4,0,1
0,0,1.42,5,4,1,0
0,1,0.76,2,7,0,0
0,1,0.58,11,3,1,1
1,1,0.48,1,9,1,1
0,0,1.22,5,6,2,0
1,1,0.86,11,10,4,1
1,0,1.58,1,3,3,0
0,0,1.94,3,9,0,0
1,1,0.83,8,4,1,1
1,0,1.48,11,2,1,0
0,0,1.63,8,4,2,0
0,1,0.43,9,5,2,1
0,1,0.38,1,7,3,1
0,1,0.81,4,1,1,0
1,1,0.49,6,7,1,1
1,1,0.87,7,4,0,1
1,0,1.38,5,6,5,1
1,1,0.35,13,5,1,1
1,1,0.63,7,2,0,1
0,1,0.86,11,3,3,0
1,0,2.09,10,3,2,0
1,1,0.83,8,5,1,1
1,0,2.31,10,8,2,0
1,0,2.46,6,7,2,0
0,0,2.15,11,4,3,0
0,1,0.98,4,4,1,1
0,1,0.53,1,2,2,1
1,1,0.95,11,2,0,1
1,1,0.49,5,2,1,1
1,0,2.49,10,6,2,1
0,0,1.71,10,7,1,0
1,0,2.09,10,3,2,0
1,1,0.73,4,3,2,1
0,1,0.49,5,4,0,1
0,1,0.49,4,6,3,1
0,0,1.76,9,3,2,0
1,0,1.56,3,6,0,0
0,0,2.13,3,7,1,0
1,1,0.83,10,2,3,1
1,1,0.73,7,3,1,1
0,1,0.37,2,3,0,1
1,1,0.9,9,0,1,1
1,1,0.72,8,4,2,1
0,1,0.97,12,3,1,0
1,0,2.09,14,8,1,0
0,1,0.42,6,6,3,1
0,1,0.63,14,1,3,0
0,0,1.57,13,7,1,0
1,1,0.32,9,9,1,1
1,1,0.31,11,2,2,1
0,1,0.39,3,6,1,1
0,1,0.48,4,1,1,1
1,1,0.6,7,2,1,1
0,1,0.64,1,2,2,1
0,0,1.65,13,4,0,0
1,0,1.26,1,2,1,0
1,0,1.49,1,4,1,1
0,0,1.65,12,5,0,0
1,1,0.31,8,5,2,1
1,1,0.35,13,5,0,1
0,0,1.48,6,4,0,0
1,1,0.41,3,5,2,1
0,0,2.01,10,3,1,0
1,0,2.1,7,2,1,0
1,0,2.22,6,3,1,0
1,1,0.46,5,8,2,1
0,0,2.03,3,8,2,0
1,1,0.73,14,5,3,1
0,1,0.9,4,3,1,0
0,1,0.83,13,8,1,0
0,0,1.31,13,5,5,0
